epoch,stats_g/mean,stats_g/std,stats_o/mean,stats_o/std,test/episode,test/mean_Q,test/success_rate,train/episode,train/success_rate
211,0.84908384,0.12311994,0.20242357,0.12916881,2120.0,-4.0829835,0.9,4240.0,0.75
212,0.849169,0.12311349,0.20239477,0.12912017,2130.0,-2.3268485,1.0,4260.0,0.55
213,0.8491545,0.12325841,0.20240237,0.12915353,2140.0,-2.4636793,0.7,4280.0,0.55
214,0.8491721,0.123314045,0.20239764,0.12912135,2150.0,-2.2775333,0.9,4300.0,0.6
215,0.849253,0.12324671,0.20241728,0.12894388,2160.0,-2.5040011,0.8,4320.0,0.7
216,0.8492883,0.123236895,0.20237629,0.1289336,2170.0,-1.5543512,1.0,4340.0,0.6
217,0.8494544,0.12319544,0.20239668,0.12886952,2180.0,-3.8638191,0.9,4360.0,0.4
218,0.8494317,0.12311787,0.2023899,0.12883326,2190.0,-1.7840071,0.9,4380.0,0.45
219,0.8494652,0.12298731,0.20239168,0.12869349,2200.0,-1.4707977,1.0,4400.0,0.6
220,0.8495174,0.12309287,0.20244904,0.12872408,2210.0,-2.2263558,0.8,4420.0,0.35
221,0.84947425,0.12317809,0.20239215,0.12871806,2220.0,-1.6119865,0.9,4440.0,0.45
222,0.8496249,0.12329227,0.20244089,0.12876876,2230.0,-2.1336923,0.8,4460.0,0.45
223,0.8496893,0.12337554,0.20245439,0.12871164,2240.0,-1.4371874,0.9,4480.0,0.45
224,0.84970754,0.12326134,0.20247228,0.12864764,2250.0,-1.6066077,1.0,4500.0,0.55
225,0.84977406,0.12320929,0.20249389,0.12853955,2260.0,-1.2898086,1.0,4520.0,0.65
226,0.84974545,0.12314018,0.20252696,0.12847085,2270.0,-2.1549878,0.9,4540.0,0.6
227,0.8498598,0.123064876,0.20256172,0.12832874,2280.0,-2.3790245,0.8,4560.0,0.55
228,0.8498435,0.12297415,0.2025766,0.1282313,2290.0,-1.3562196,1.0,4580.0,0.8
229,0.8499067,0.12294828,0.20254165,0.1281207,2300.0,-1.1717509,1.0,4600.0,0.55
230,0.84999794,0.12306061,0.20253344,0.12806928,2310.0,-3.043311,0.9,4620.0,0.5
231,0.8500652,0.12300978,0.2025476,0.127953,2320.0,-1.8854713,1.0,4640.0,0.6
232,0.85014707,0.12291488,0.20256633,0.1278183,2330.0,-1.6938353,1.0,4660.0,0.6
233,0.85017973,0.122861646,0.20251083,0.12777896,2340.0,-1.7374634,1.0,4680.0,0.65
234,0.85026723,0.12276173,0.20252189,0.1276916,2350.0,-1.3625543,0.9,4700.0,0.5
235,0.85031074,0.12287655,0.20254621,0.12771499,2360.0,-2.2739882,1.0,4720.0,0.6
236,0.85035354,0.12289349,0.20253286,0.12766443,2370.0,-1.8178346,0.9,4740.0,0.7
237,0.8503263,0.122889064,0.20249346,0.12760627,2380.0,-1.2516673,1.0,4760.0,0.6
238,0.8503545,0.122792654,0.20253107,0.12762818,2390.0,-1.7284905,0.9,4780.0,0.65
239,0.8503659,0.122712694,0.20252115,0.12754449,2400.0,-2.5708423,0.9,4800.0,0.55
240,0.8504286,0.12277716,0.2025243,0.12750898,2410.0,-1.2724718,0.9,4820.0,0.55
241,0.8504932,0.122681014,0.20255934,0.12745723,2420.0,-1.7834282,1.0,4840.0,0.45
242,0.8506336,0.12273256,0.20256124,0.12736923,2430.0,-1.9926733,1.0,4860.0,0.45
243,0.8507015,0.12270383,0.20256913,0.12731138,2440.0,-1.9756657,1.0,4880.0,0.35
244,0.85075146,0.12268714,0.20259714,0.12723397,2450.0,-2.8313441,0.9,4900.0,0.5
245,0.8508094,0.12262285,0.20258814,0.12713066,2460.0,-2.3340993,0.9,4920.0,0.6
246,0.8508797,0.12254405,0.2026115,0.12707178,2470.0,-1.4507129,1.0,4940.0,0.75
247,0.85091496,0.12249547,0.2026535,0.12702754,2480.0,-3.2529812,0.8,4960.0,0.5
248,0.8509055,0.122433655,0.20262194,0.12697324,2490.0,-1.9181083,1.0,4980.0,0.65
249,0.8509286,0.122319035,0.20263949,0.1268478,2500.0,-2.0530334,1.0,5000.0,0.8
250,0.8509321,0.12223911,0.20257914,0.12680279,2510.0,-1.0533851,1.0,5020.0,0.8
251,0.85091156,0.12227896,0.20259553,0.12673812,2520.0,-2.1243868,0.8,5040.0,0.75
252,0.8509741,0.12226677,0.20257366,0.12668282,2530.0,-4.6686773,0.9,5060.0,0.55
253,0.8510184,0.12215242,0.20257407,0.12659916,2540.0,-1.7574126,1.0,5080.0,0.7
254,0.85109407,0.12208264,0.20259699,0.12646285,2550.0,-3.5991592,0.7,5100.0,0.7
